1321 (process ID) old priority 0, new priority 4
1885 (process ID) old priority 0, new priority 4
5919 (process ID) old priority 0, new priority 4
5939 (process ID) old priority 0, new priority 4
1321 (process ID) old priority 4, new priority 4
1885 (process ID) old priority 4, new priority 4
2405 (process ID) old priority 0, new priority 4
5428 (process ID) old priority 0, new priority 4
5919 (process ID) old priority 4, new priority 4
2244 (process ID) old priority 0, new priority 4
1296 (process ID) old priority 0, new priority 4
4356 (process ID) old priority 0, new priority 4
4364 (process ID) old priority 0, new priority 4
2177 (process ID) old priority 0, new priority 4
4880 (process ID) old priority 0, new priority 4
1296 (process ID) old priority 4, new priority 4
2244 (process ID) old priority 4, new priority 4
4968 (process ID) old priority 0, new priority 4
4935 (process ID) old priority 0, new priority 4
4880 (process ID) old priority 4, new priority 4
1296 (process ID) old priority 4, new priority 4
2244 (process ID) old priority 4, new priority 4
4968 (process ID) old priority 4, new priority 4
4935 (process ID) old priority 4, new priority 4
1312 (process ID) old priority 0, new priority 4
2232 (process ID) old priority 0, new priority 4
3825 (process ID) old priority 0, new priority 4
1788 (process ID) old priority 0, new priority 4
2165 (process ID) old priority 0, new priority 4
